25,25
2,0,1
9,0,5
9,0,6
9,0,11
9,0,12
9,0,15
1,0,20
9,0,23
9,1,0
9,1,1
1,1,2
0,1,5
2,1,8
9,1,11
3,1,13
0,1,17
9,1,23
9,1,24
9,2,8
9,2,9
3,2,12
9,2,15
1,2,20
0,2,21
0,2,23
2,3,2
0,3,5
1,3,10
9,3,19
9,3,20
9,4,0
1,4,2
1,4,3
9,4,5
9,4,7
3,4,9
0,4,13
9,4,15
9,4,18
9,5,3
9,5,13
9,5,14
0,5,20
1,5,21
0,5,23
9,5,24
0,6,4
9,6,10
9,6,14
9,6,15
2,6,16
9,6,24
1,7,1
9,7,10
2,7,14
9,7,20
0,8,6
9,8,8
1,8,9
9,8,10
9,8,16
9,8,22
3,8,23
9,9,0
9,9,2
9,9,4
0,9,6
9,9,14
2,9,16
0,9,20
9,9,22
9,10,5
9,10,6
1,10,7
9,10,9
9,10,10
0,10,12
9,10,13
0,10,14
9,10,16
1,10,17
0,10,18
1,10,21
4,11,1
9,11,4
0,11,5
9,11,10
9,11,23
9,11,24
9,12,0
9,12,2
9,12,10
9,12,12
9,12,14
9,12,22
1,12,24
9,13,0
9,13,1
9,13,14
9,13,19
1,13,20
2,13,23
4,14,3
0,14,6
9,14,7
9,14,8
9,14,10
9,14,11
9,14,12
9,14,14
9,14,15
0,14,17
0,14,18
9,14,19
9,15,2
2,15,4
9,15,8
9,15,10
1,15,18
1,15,20
2,15,22
9,15,24
0,16,1
9,16,2
2,16,8
9,16,14
1,16,15
9,16,16
9,16,18
9,17,4
9,17,10
9,17,14
9,17,23
9,18,0
9,18,8
9,18,9
9,18,10
1,18,14
9,18,20
9,19,0
9,19,1
2,19,3
9,19,4
9,19,10
9,19,11
1,19,21
1,20,6
2,20,9
2,20,11
0,20,15
1,20,17
9,20,19
9,20,21
0,20,22
2,20,24
9,21,4
9,21,5
9,21,14
1,21,19
9,21,22
9,22,1
1,22,3
1,22,4
2,22,9
2,22,12
2,22,15
0,22,16
2,23,0
9,23,1
1,23,7
9,23,11
9,23,13
9,23,16
9,23,19
1,23,22
0,23,23
9,23,24
9,24,1
9,24,4
9,24,9
9,24,12
9,24,13
9,24,18
9,24,19
9,24,23
