25,25
1,0,0
0,0,3
1,0,9
9,0,12
9,0,13
0,0,15
1,0,21
2,0,22
9,0,24
9,1,4
9,1,5
1,1,7
9,1,16
0,1,17
9,1,18
9,2,0
2,2,6
1,2,7
9,2,12
9,2,14
9,2,20
9,3,0
1,3,13
0,3,18
9,3,19
2,3,20
9,3,24
0,4,2
0,4,3
9,4,5
9,4,8
9,4,13
9,4,23
9,5,3
9,5,17
9,5,18
9,5,20
2,5,23
9,6,1
2,6,3
9,6,5
3,6,6
2,6,8
2,6,10
2,6,13
9,6,16
2,6,18
9,6,22
1,7,1
9,7,5
9,7,9
9,7,12
9,7,16
1,7,22
9,7,23
9,8,1
2,8,6
1,8,7
1,8,14
9,8,18
9,8,20
9,9,0
0,9,13
2,9,17
9,9,24
0,10,2
2,10,8
0,10,11
9,10,18
9,11,0
9,11,3
1,11,4
9,11,6
9,11,9
1,11,14
9,12,0
2,12,2
9,12,7
1,12,17
9,12,22
0,12,24
2,13,10
9,13,15
2,13,18
1,13,20
9,13,21
9,13,24
9,14,6
1,14,13
9,14,16
9,14,22
9,15,0
1,15,7
9,15,11
2,15,24
9,16,4
9,16,6
0,16,10
1,16,17
1,16,18
9,16,23
2,17,1
9,17,2
0,17,8
2,17,12
2,17,15
9,17,19
1,17,23
9,18,2
2,18,6
0,18,8
2,18,11
1,18,14
9,18,16
9,18,18
0,18,19
9,18,21
9,18,23
9,19,1
9,19,4
1,19,6
9,19,7
9,19,21
9,20,1
1,20,11
0,20,16
3,20,19
9,20,21
2,20,22
2,21,0
9,21,4
9,21,5
2,21,6
9,21,11
9,21,24
0,22,4
9,22,10
9,22,12
9,22,17
9,22,18
9,22,24
1,23,6
0,23,7
0,23,8
2,23,17
2,23,19
1,23,20
9,24,0
9,24,2
0,24,3
9,24,9
9,24,11
9,24,12
0,24,15
1,24,21
9,24,24
