25,25
9,0,2
9,0,3
9,0,4
1,0,5
0,0,11
9,0,16
9,0,19
9,0,21
1,0,22
9,1,1
9,1,5
9,1,14
9,1,16
2,1,18
9,1,19
1,1,20
9,1,23
1,2,0
0,2,2
1,2,3
3,2,6
1,2,8
9,2,10
2,2,14
9,2,18
9,2,21
2,2,22
9,2,24
9,3,0
9,3,2
9,3,3
9,3,7
1,3,11
9,3,20
1,3,21
9,3,22
9,3,24
9,4,1
9,4,3
9,4,5
9,4,7
9,4,8
9,4,9
1,4,16
2,4,19
9,4,24
1,5,0
1,5,1
9,5,4
9,5,7
9,5,9
2,5,15
9,5,18
9,5,20
9,5,23
0,5,24
9,6,1
9,6,2
9,6,5
9,6,6
4,6,8
1,6,13
9,6,17
9,6,18
9,6,22
9,7,6
9,7,7
9,7,9
9,7,10
9,7,11
9,7,15
9,7,17
9,7,19
9,7,20
9,7,21
1,8,0
1,8,1
0,8,4
3,8,8
9,8,12
1,8,15
9,8,16
9,8,18
9,8,20
2,8,22
2,9,5
9,9,7
9,9,8
9,9,9
1,9,11
2,9,15
9,9,17
3,9,19
1,9,20
1,10,1
9,10,2
9,10,11
9,10,17
9,10,22
0,11,6
9,11,11
9,11,13
9,11,14
1,11,15
9,11,17
1,11,21
9,11,24
1,12,8
2,12,16
9,13,0
2,13,3
2,13,7
9,13,9
9,13,10
1,13,11
9,13,13
9,13,18
9,14,2
9,14,7
0,14,13
9,14,22
1,14,23
9,15,4
9,15,5
9,15,7
2,15,9
0,15,13
9,15,15
9,15,16
2,15,17
2,15,19
1,16,2
9,16,4
9,16,6
1,16,8
9,16,9
9,16,12
9,16,16
9,16,20
9,16,23
1,16,24
9,17,3
9,17,4
3,17,5
9,17,7
9,17,9
1,17,13
0,17,14
9,17,15
9,17,17
9,17,18
2,18,2
9,18,6
9,18,7
0,18,11
9,18,16
9,18,18
0,18,19
9,18,22
9,18,23
1,19,0
9,19,1
9,19,4
1,19,6
9,19,9
1,19,15
9,19,17
9,19,20
9,19,23
9,19,24
9,20,0
2,20,5
0,20,8
1,20,15
9,20,16
9,20,17
9,20,19
9,20,21
2,20,23
9,21,0
9,21,2
9,21,3
1,21,4
1,21,13
9,21,17
9,21,21
9,21,22
9,21,24
9,22,0
9,22,2
9,22,3
9,22,6
9,22,10
9,22,14
9,22,16
9,22,18
2,22,21
9,22,22
9,22,24
4,23,1
9,23,4
9,23,5
1,23,6
9,23,8
1,23,10
9,23,19
3,23,23
9,24,2
9,24,3
9,24,5
1,24,8
9,24,13
1,24,19
9,24,20
9,24,21
9,24,22
