25,25
9,0,2
0,0,5
0,0,9
9,0,10
3,0,12
9,0,18
9,0,20
0,0,21
3,1,1
9,1,17
1,1,18
9,1,20
1,1,23
9,2,3
0,2,9
9,2,13
2,2,17
9,2,18
9,2,24
9,3,0
2,3,3
2,3,5
9,3,6
1,3,9
0,3,12
9,3,13
9,3,14
9,3,18
9,3,19
1,3,20
9,3,21
9,3,22
1,4,0
9,4,1
9,4,3
9,4,8
0,4,15
3,4,17
9,5,3
0,5,8
9,5,11
9,5,14
3,5,18
9,5,21
0,5,24
9,6,0
9,6,1
9,6,2
9,6,3
2,6,5
9,6,10
9,6,11
1,6,12
9,6,14
3,6,17
9,6,21
1,7,1
0,7,2
9,7,4
9,7,6
9,7,9
1,7,16
1,8,7
9,8,10
9,8,19
2,8,20
1,9,4
1,9,12
9,9,17
9,9,21
9,9,22
9,9,24
1,10,3
9,10,5
9,10,6
1,10,10
9,10,11
2,10,14
9,10,16
2,10,18
9,10,24
2,11,2
9,11,3
9,11,12
9,11,14
9,11,18
9,11,19
0,12,0
9,12,3
2,12,6
9,12,9
1,12,11
4,12,13
2,12,15
9,12,18
1,12,21
0,12,24
2,13,5
9,13,6
9,13,10
9,13,12
9,13,21
9,13,22
9,14,0
9,14,6
1,14,8
0,14,10
9,14,13
0,14,14
9,14,18
9,14,19
9,14,21
9,15,0
1,15,2
9,15,3
1,15,7
9,15,12
0,15,20
0,16,4
9,16,5
2,16,14
1,16,17
9,17,8
9,17,15
9,17,18
9,17,20
2,17,22
1,17,23
9,18,3
9,18,7
1,18,10
3,18,12
9,18,13
9,18,14
9,18,19
9,18,21
9,18,22
1,18,23
9,18,24
9,19,0
0,19,3
9,19,6
0,19,10
9,19,13
9,19,16
1,19,21
9,20,7
2,20,9
9,20,16
9,20,21
9,20,23
9,20,24
9,21,2
9,21,3
0,21,4
9,21,5
0,21,6
9,21,10
9,21,11
1,21,12
3,21,15
1,21,18
0,21,19
9,21,21
2,21,24
2,22,0
9,22,6
9,22,7
9,22,11
9,22,15
9,22,21
9,23,1
9,23,4
9,23,6
9,23,7
9,23,23
0,24,3
1,24,4
1,24,6
1,24,12
9,24,14
9,24,15
9,24,19
9,24,22
