25,25
1,0,5
9,0,6
0,0,7
9,0,14
0,0,17
0,0,19
9,0,21
9,0,22
9,1,1
1,1,2
9,1,6
3,1,12
9,1,16
1,1,19
2,1,23
9,2,0
9,2,4
0,2,7
9,2,9
2,2,11
9,2,17
1,2,23
9,3,0
9,3,6
0,3,7
9,3,14
1,3,17
9,4,4
9,4,5
9,4,13
1,4,18
2,4,20
3,4,22
9,5,0
1,5,1
9,5,5
9,5,6
9,5,8
2,5,10
9,5,11
9,5,13
9,5,14
9,5,19
9,5,20
9,5,24
2,6,4
9,6,8
2,6,9
9,6,11
0,6,12
9,6,15
9,6,16
2,6,19
9,6,21
9,6,23
9,6,24
9,7,0
9,7,2
2,7,3
2,7,8
9,7,12
9,7,21
2,7,22
9,7,24
2,8,1
9,8,6
0,8,8
1,8,16
0,8,17
9,8,18
1,8,19
9,9,6
1,9,13
2,9,18
2,9,22
9,10,0
2,10,3
9,10,5
1,10,11
0,10,12
9,10,19
9,11,4
2,11,5
1,11,9
9,11,14
9,11,18
9,11,19
9,11,22
2,12,1
9,12,6
9,12,7
9,12,10
0,12,12
9,12,14
9,12,17
1,12,18
2,12,23
2,13,2
9,13,5
2,13,6
9,13,10
3,13,15
9,13,19
1,13,20
3,14,5
1,14,12
9,14,13
9,14,19
2,14,21
0,14,24
9,15,2
9,15,6
1,15,11
9,15,18
9,16,5
9,16,6
9,16,7
9,16,8
9,16,16
1,16,18
9,16,23
0,17,0
9,17,2
9,17,3
1,17,12
9,17,16
9,17,21
0,17,22
9,17,24
9,18,0
9,18,1
1,18,3
2,18,5
9,18,8
9,18,9
9,18,12
1,18,13
9,18,15
9,18,16
2,18,20
0,19,0
9,19,4
9,19,5
9,19,10
2,19,11
9,19,13
9,19,14
3,19,16
1,19,18
9,19,19
1,19,23
9,19,24
9,20,2
9,20,4
1,20,6
9,20,11
9,20,19
1,20,20
1,21,7
1,21,10
9,21,17
9,21,18
0,21,24
9,22,1
9,22,7
1,22,13
9,22,15
0,22,17
9,22,20
9,22,24
9,23,1
0,23,5
2,23,8
0,23,12
9,23,18
9,23,22
1,23,23
1,24,2
0,24,3
1,24,5
2,24,7
9,24,10
9,24,17
9,24,18
9,24,19
