25,25
9,0,5
0,0,6
9,0,11
9,0,17
2,0,23
0,1,0
1,1,2
1,1,3
1,1,15
1,1,19
9,2,3
9,2,5
2,2,7
0,2,12
0,2,15
9,2,18
9,2,23
9,3,4
9,3,6
1,3,11
4,3,17
9,3,22
1,3,23
9,4,9
9,4,19
9,4,21
0,5,1
3,5,4
2,5,6
9,5,9
0,5,10
9,5,13
9,5,14
9,5,17
9,5,18
9,5,22
9,5,24
9,6,2
9,6,5
1,6,13
2,6,16
2,6,19
9,6,21
9,6,24
9,7,0
9,7,3
0,7,5
9,7,8
9,7,9
1,7,10
0,7,22
1,8,6
9,8,8
0,8,13
9,8,15
9,8,16
9,8,17
0,9,1
2,9,2
2,9,8
9,9,11
9,9,17
1,9,19
2,9,20
0,10,5
0,10,11
9,10,12
2,10,17
1,10,19
1,11,5
0,11,6
9,11,8
9,11,14
9,11,15
9,11,21
9,11,24
2,12,2
9,12,10
1,12,12
9,12,14
2,12,22
1,13,0
9,13,3
9,13,9
9,13,10
9,13,16
9,13,18
1,13,19
1,14,5
9,14,7
0,14,12
9,14,13
1,14,19
0,15,4
2,15,5
9,15,7
9,15,13
9,15,16
1,15,22
1,15,23
9,16,7
9,16,8
2,16,9
9,16,11
9,16,16
9,16,18
9,17,2
9,17,14
1,17,15
9,17,16
0,17,19
9,17,21
2,17,24
0,18,0
4,18,3
9,18,5
2,18,8
9,18,11
9,18,19
9,18,22
9,19,0
4,19,2
9,19,6
9,19,7
0,19,10
1,19,11
0,19,14
9,19,15
9,19,18
0,19,20
9,19,23
9,20,3
0,20,5
1,20,15
9,21,1
1,21,2
9,21,7
2,21,13
2,21,18
9,21,20
2,22,1
2,22,6
1,22,9
2,22,12
9,22,17
9,22,19
2,22,21
9,23,5
1,23,9
1,23,21
9,23,22
2,23,24
1,24,1
0,24,7
9,24,13
0,24,18
9,24,19
