25,25
9,0,2
9,0,5
9,0,6
0,0,11
2,0,12
9,0,14
9,0,16
9,0,20
9,0,22
0,1,2
2,1,3
1,1,7
9,1,9
2,1,13
0,1,16
9,1,18
9,1,21
9,2,0
9,2,9
9,2,12
9,2,13
2,2,18
2,2,20
9,2,23
1,2,24
9,3,1
1,3,6
1,3,9
9,3,11
9,3,12
9,3,15
9,3,16
9,3,18
2,3,23
9,4,0
3,4,2
9,4,4
9,4,19
9,4,20
9,5,4
9,5,5
0,5,10
9,5,14
9,5,15
0,5,19
9,5,24
0,6,1
9,6,2
1,6,3
0,6,8
9,6,10
2,6,13
9,6,15
9,6,17
1,6,21
9,6,24
3,7,6
9,7,10
1,7,23
0,8,0
9,8,1
9,8,3
9,8,9
1,8,18
9,9,3
1,9,5
9,9,6
9,9,11
9,9,13
2,9,16
9,9,21
9,9,22
0,9,23
2,10,0
9,10,5
3,10,10
3,10,14
9,10,17
9,10,18
9,10,19
9,11,1
0,11,2
9,11,6
2,11,9
9,11,11
1,11,13
2,11,15
0,11,21
0,11,24
9,12,0
2,12,2
9,12,3
1,12,21
9,12,22
9,12,24
1,13,0
9,13,3
9,13,9
1,13,11
9,13,13
1,13,15
1,13,18
9,13,22
9,13,23
9,14,5
1,14,6
1,14,7
1,14,10
9,14,14
9,14,19
2,14,24
9,15,1
9,15,2
1,15,3
2,15,8
0,15,11
2,15,13
1,15,18
1,15,19
1,15,21
0,16,6
9,16,15
9,16,21
9,16,23
0,16,24
9,17,1
1,17,14
1,17,18
9,18,0
0,18,3
1,18,7
9,18,9
9,18,11
9,18,14
2,18,16
9,18,21
0,18,22
9,18,23
9,19,0
2,19,5
0,19,9
2,19,10
0,19,14
9,19,19
0,19,20
1,20,4
9,20,5
9,20,20
9,20,22
9,20,24
2,21,1
9,21,6
9,21,8
1,21,9
9,21,12
9,21,13
0,21,15
2,21,18
2,21,23
9,22,0
9,22,1
9,22,4
9,22,6
9,22,11
2,22,12
9,22,15
9,22,24
2,23,3
9,23,6
9,23,8
9,23,11
9,23,15
9,23,17
9,23,21
2,23,22
2,24,2
1,24,4
2,24,8
9,24,10
9,24,12
9,24,13
9,24,18
1,24,19
9,24,22
