25,25
9,0,0
9,0,1
1,0,16
9,0,20
1,0,21
9,0,22
9,0,24
9,1,1
1,1,4
9,1,8
0,1,13
0,1,18
9,1,23
9,1,24
9,2,0
4,2,2
1,2,4
0,2,7
1,2,9
9,2,14
9,2,15
0,2,17
1,2,20
2,2,22
9,3,0
9,3,7
9,3,9
1,3,13
9,3,14
1,3,15
9,3,20
9,4,0
9,4,2
1,4,3
9,4,4
3,4,14
1,4,20
9,4,22
9,4,23
9,5,7
1,5,11
9,5,12
9,5,13
9,5,18
3,6,1
9,6,5
2,6,8
0,6,13
1,6,14
9,6,15
0,6,17
9,7,2
9,7,6
9,7,7
9,7,8
1,7,17
9,7,19
1,7,21
0,7,22
1,8,0
9,8,14
0,8,17
2,8,18
9,8,23
9,9,2
9,9,3
9,9,6
2,9,12
9,9,13
9,9,14
9,9,21
0,9,22
9,10,2
9,10,3
2,10,4
2,10,6
9,10,8
9,10,9
0,10,10
9,10,14
0,11,1
0,11,3
9,11,5
0,11,6
9,11,9
9,11,11
1,11,12
9,11,13
1,11,19
9,12,5
9,12,9
9,12,11
2,12,13
1,12,15
9,12,19
1,13,5
9,13,11
1,13,12
9,13,13
9,13,15
0,13,18
9,13,19
1,13,21
1,13,23
9,14,10
1,14,14
9,14,15
0,14,16
1,14,18
9,14,20
9,14,21
9,14,22
0,15,2
2,15,3
9,15,10
0,15,11
9,15,12
0,15,18
0,15,21
0,15,22
9,16,1
9,16,6
9,16,7
2,16,10
0,16,24
9,17,2
1,17,3
9,17,5
9,17,7
0,17,16
1,17,17
9,17,18
1,17,22
9,18,7
9,18,9
9,18,10
1,18,11
9,18,16
1,18,19
1,18,23
2,19,6
9,19,11
9,19,12
9,19,13
1,19,17
9,20,1
9,20,2
9,20,4
3,20,10
9,20,20
0,20,21
1,20,22
9,20,24
9,21,4
2,21,9
9,21,10
2,21,11
9,21,15
9,21,17
9,21,24
4,22,2
9,22,4
9,22,7
9,22,9
9,22,10
0,22,15
2,22,17
0,22,20
9,22,22
9,22,24
9,23,0
9,23,1
3,23,6
9,23,11
9,23,16
9,23,20
3,23,23
9,24,0
9,24,2
9,24,3
9,24,4
9,24,8
9,24,23
9,24,24
