25,25
9,0,3
9,0,9
9,0,11
2,0,14
9,0,20
2,0,23
9,1,0
2,1,5
0,1,8
1,1,13
9,1,17
9,1,20
9,2,2
2,2,4
9,2,5
3,2,11
9,2,15
3,2,18
9,2,21
0,2,22
9,3,2
9,3,7
9,3,8
9,3,10
9,3,12
9,3,16
9,3,18
9,3,20
9,3,24
0,4,0
2,4,1
9,4,3
2,4,5
9,4,7
1,4,9
1,4,10
9,4,17
9,4,18
9,4,22
9,5,6
9,5,12
2,5,15
3,5,20
9,5,22
9,5,23
1,6,2
9,6,3
9,6,4
9,6,6
0,6,14
1,6,15
9,6,16
9,6,17
9,6,18
9,6,19
2,7,1
1,7,4
9,7,6
9,7,8
9,7,14
9,7,20
9,7,21
9,8,3
9,8,6
9,8,10
2,8,11
9,8,15
9,8,17
9,8,21
3,8,23
2,9,2
9,9,5
9,9,6
9,9,8
3,9,20
9,9,24
9,10,0
2,10,6
1,10,7
9,10,13
0,10,16
9,10,20
9,10,21
9,11,1
9,11,10
3,11,12
9,11,16
9,11,22
3,11,24
9,12,3
9,12,5
9,12,11
9,12,13
9,12,19
3,12,21
9,13,0
3,13,2
1,13,8
2,13,12
3,13,14
9,13,23
9,14,3
2,14,4
9,14,8
9,14,11
9,14,17
0,14,18
9,14,24
9,15,0
9,15,4
1,15,16
9,15,18
9,15,19
0,15,22
9,16,1
9,16,3
9,16,7
2,16,9
0,16,13
9,16,14
9,16,18
9,16,21
9,17,3
9,17,4
0,17,10
9,17,16
1,17,18
9,17,20
3,17,23
9,18,5
9,18,6
9,18,7
9,18,8
9,18,9
9,18,10
9,18,18
2,18,20
9,18,21
9,18,22
1,19,1
9,19,2
4,19,4
0,19,9
1,19,12
9,19,18
9,20,2
9,20,6
1,20,7
1,20,14
9,20,15
2,20,17
9,20,19
9,20,21
9,20,23
1,20,24
2,21,0
9,21,4
9,21,6
2,21,8
2,21,12
9,21,14
3,21,16
9,21,17
9,21,22
9,22,2
9,22,3
0,22,6
9,22,9
9,22,13
9,22,19
9,22,20
0,22,22
9,23,4
1,23,7
9,23,11
1,23,16
1,23,19
9,23,24
9,24,1
1,24,4
9,24,10
3,24,13
9,24,15
9,24,21
