25,25
1,0,2
9,0,3
9,0,5
9,0,7
9,0,9
1,0,11
9,0,16
9,0,18
0,0,19
0,1,3
9,1,5
9,1,6
9,1,8
2,1,9
9,1,16
9,1,17
9,1,18
3,1,21
9,2,8
9,2,12
9,2,13
0,2,16
1,2,20
9,2,24
0,3,1
9,3,3
9,3,4
2,3,6
9,3,8
9,3,9
9,3,10
9,3,13
9,3,15
9,3,18
9,3,21
9,3,23
9,3,24
1,4,2
9,4,4
1,4,9
9,4,10
9,4,11
1,4,16
3,4,19
9,4,20
9,4,21
1,5,0
2,5,4
9,5,6
9,5,10
1,5,17
2,5,18
9,5,23
2,5,24
9,6,0
9,6,1
1,6,3
9,6,5
0,6,7
9,6,19
9,6,21
9,6,23
9,7,1
0,7,5
9,7,7
0,7,13
9,7,14
9,7,17
1,7,18
9,7,24
9,8,0
9,8,1
9,8,2
9,8,4
3,8,8
1,8,11
1,8,16
9,8,21
9,8,22
9,8,23
3,9,3
1,9,10
9,9,11
9,9,13
9,9,20
9,9,21
1,9,23
9,9,24
9,10,7
9,10,11
2,10,12
2,10,15
9,10,19
9,10,20
9,10,21
9,11,2
1,11,3
0,11,7
9,11,9
9,11,12
9,11,14
9,11,15
9,11,16
9,11,20
1,11,24
9,12,2
9,12,10
9,12,11
9,12,13
9,12,14
0,12,22
1,13,0
9,13,4
2,13,8
9,13,9
9,13,10
9,13,12
0,13,15
9,13,17
2,13,21
9,13,22
9,14,3
9,14,4
9,14,5
3,14,9
9,14,12
9,14,13
9,14,17
9,15,0
2,15,1
9,15,3
9,15,4
9,15,11
9,15,13
9,15,14
9,15,21
9,16,1
9,16,2
9,16,3
0,16,8
0,16,13
2,16,16
2,16,20
9,16,22
1,16,23
9,16,24
9,17,0
0,17,6
9,17,7
9,17,10
9,17,11
9,17,17
9,17,19
9,17,23
9,18,1
4,18,3
9,18,5
1,18,17
2,18,19
9,18,21
9,18,23
9,18,24
2,19,0
9,19,1
9,19,6
9,19,7
0,19,14
9,19,18
9,19,20
9,19,24
9,20,3
9,20,4
9,20,5
1,20,8
9,20,13
9,20,14
1,20,15
9,20,20
3,20,22
9,21,0
9,21,1
9,21,3
9,21,6
1,21,9
2,21,11
9,21,14
9,21,15
1,21,16
9,21,18
9,21,20
9,21,21
1,21,23
1,22,0
4,22,4
1,22,8
9,22,11
9,22,12
0,22,16
2,23,3
9,23,6
9,23,7
1,23,8
9,23,15
1,23,16
9,23,18
9,23,19
9,23,21
9,24,5
9,24,6
9,24,8
1,24,13
2,24,15
9,24,17
2,24,19
9,24,21
2,24,22
