25,25
9,0,1
9,0,2
1,0,3
0,0,7
9,0,9
1,0,14
9,0,18
0,0,21
9,0,22
9,0,23
2,1,0
1,1,2
1,1,11
1,1,15
3,1,19
9,1,21
9,1,24
9,2,0
9,2,7
1,2,17
9,2,18
2,2,20
2,2,23
9,2,24
9,3,0
9,3,1
1,3,4
9,3,5
1,3,11
9,3,13
9,3,15
9,3,17
9,3,19
1,3,24
9,4,2
9,4,5
9,4,8
2,4,10
2,4,11
9,4,21
9,5,1
9,5,3
0,5,5
0,5,8
9,5,10
9,5,12
9,5,13
0,5,16
2,5,19
9,5,20
9,5,21
0,6,0
9,6,2
1,6,7
0,7,2
9,7,3
0,7,9
9,7,10
0,7,15
0,7,18
0,7,22
9,7,24
9,8,5
9,8,13
9,8,14
9,8,19
9,8,20
3,9,1
9,9,3
0,9,7
1,9,14
9,9,17
2,9,24
1,10,0
9,10,8
1,10,9
9,10,11
9,10,13
9,10,17
1,10,19
9,10,20
3,11,3
9,11,5
9,11,8
2,11,10
9,11,12
2,11,14
9,11,20
0,11,21
9,11,23
9,12,5
2,12,11
9,12,12
9,12,13
9,12,19
9,13,1
1,13,3
9,13,4
9,13,10
9,13,12
2,13,14
9,13,16
9,13,19
9,13,21
9,14,4
9,14,5
1,14,7
9,14,11
9,14,13
9,14,15
9,14,16
2,14,24
9,15,0
2,15,7
9,15,10
9,15,17
9,15,21
9,15,23
0,16,4
1,16,5
9,16,10
3,16,11
9,16,19
2,17,0
1,17,2
2,17,6
9,17,9
9,17,14
2,17,15
9,17,21
9,17,22
9,18,17
3,18,22
2,18,24
9,19,3
9,19,4
0,19,5
0,19,8
9,19,11
9,19,12
9,19,14
9,19,16
1,19,19
9,19,21
2,19,23
9,20,3
9,20,13
9,20,14
9,20,16
9,20,19
9,20,22
1,21,0
9,21,5
1,21,7
9,21,9
9,21,11
3,21,13
1,21,19
9,21,20
9,21,23
9,21,24
9,22,0
9,22,1
9,22,4
1,22,6
9,22,7
9,22,17
9,22,24
9,23,0
3,23,3
9,23,5
9,23,9
2,23,13
2,23,22
9,23,24
9,24,1
9,24,2
9,24,3
9,24,6
9,24,10
9,24,15
9,24,17
9,24,21
9,24,22
9,24,23
