25,25
1,0,1
1,0,5
9,0,9
9,0,14
0,0,19
9,0,22
9,1,1
1,1,3
1,1,5
1,1,8
0,1,11
1,1,14
9,1,18
9,1,23
1,1,24
0,2,0
2,2,9
2,2,11
9,2,12
1,3,5
9,3,6
9,3,8
9,3,10
1,3,16
3,3,23
9,4,6
1,4,8
2,4,14
9,4,16
9,4,17
1,5,0
0,5,5
0,5,11
9,5,13
9,5,15
9,5,17
9,5,19
0,5,21
9,5,23
9,5,24
1,6,1
9,6,8
9,6,9
2,6,11
0,6,13
2,6,17
9,6,20
1,6,21
0,7,4
9,7,5
1,7,6
9,7,7
9,7,17
9,8,3
9,8,4
9,8,9
2,8,11
0,8,14
9,8,15
9,8,18
0,8,20
9,8,21
2,8,23
1,9,5
9,9,8
2,9,10
9,9,12
9,9,16
0,9,18
2,9,22
9,9,24
1,10,0
9,10,1
2,10,4
1,10,8
9,10,10
2,10,11
9,10,14
9,10,15
9,10,21
2,11,5
9,11,6
9,11,11
9,11,13
9,11,14
3,11,16
9,11,18
1,11,19
9,11,22
9,11,23
9,12,2
9,12,9
9,12,15
2,12,22
3,13,1
1,13,2
9,13,5
0,13,6
9,13,8
9,13,10
9,13,11
1,13,13
0,13,18
9,13,19
9,14,3
9,14,9
9,14,10
9,14,13
0,14,14
9,14,16
9,14,20
9,14,23
1,14,24
9,15,0
1,15,2
9,15,6
9,15,8
2,15,12
9,15,14
9,15,16
9,15,19
9,16,1
9,16,3
0,16,4
0,16,6
2,16,9
9,16,10
9,16,13
2,16,15
9,16,20
9,16,21
9,17,7
0,17,17
9,17,18
2,17,19
9,17,20
0,18,3
1,18,4
9,18,7
1,18,11
9,18,13
9,18,15
1,18,16
2,18,23
0,19,0
9,19,1
0,19,3
1,19,5
9,19,7
9,19,9
9,19,11
1,19,13
1,19,19
9,19,24
9,20,7
9,20,8
9,20,10
9,20,16
9,20,18
9,21,1
2,21,8
0,21,14
1,21,16
9,21,18
9,21,19
9,22,12
9,22,13
9,22,15
1,22,24
2,23,0
0,23,1
9,23,6
1,23,10
2,23,13
9,23,16
3,23,19
9,23,21
9,23,23
1,24,2
1,24,5
9,24,10
9,24,15
9,24,19
2,24,23
