25,25
9,0,3
9,0,10
9,0,15
9,0,17
9,0,19
9,0,20
3,0,22
9,1,4
9,1,5
2,1,7
1,1,10
9,1,11
2,1,12
1,1,17
2,1,18
9,1,20
9,1,21
3,2,0
2,2,2
9,2,7
0,2,11
2,2,16
9,2,20
9,2,22
9,3,1
0,3,4
9,3,6
2,3,8
9,3,11
2,3,13
9,3,24
9,4,0
0,4,1
9,4,2
9,4,4
9,4,9
9,4,10
9,4,11
0,4,17
1,4,18
9,4,20
9,4,21
0,4,23
9,5,0
9,5,10
9,5,14
1,5,23
9,6,1
0,6,4
9,6,8
9,6,10
9,6,11
9,6,12
0,6,15
1,6,17
9,6,21
2,7,0
1,7,1
1,7,4
2,7,6
2,7,8
1,7,10
9,7,11
9,7,12
9,7,13
9,7,15
9,7,16
9,7,22
9,7,23
9,8,2
9,8,7
9,8,8
9,8,16
9,8,17
9,8,18
3,8,21
2,9,0
9,9,6
0,9,7
0,9,9
1,9,13
0,9,14
1,9,15
9,9,20
1,10,5
9,10,9
9,10,10
9,10,14
1,10,17
9,10,18
9,10,19
1,10,20
9,10,23
9,10,24
2,11,3
1,11,7
9,11,9
9,11,11
9,11,13
9,11,17
9,11,18
9,11,20
9,11,21
9,11,22
9,11,23
1,12,1
0,12,6
9,12,7
3,12,12
9,12,17
9,12,18
1,12,23
9,13,1
0,13,2
9,13,3
9,13,4
9,13,6
9,13,7
2,13,11
9,13,13
9,13,15
3,13,17
2,13,21
9,14,0
1,14,1
9,14,4
9,14,5
9,14,6
1,14,7
9,14,10
9,14,14
9,14,15
0,14,19
9,15,4
1,15,9
9,15,10
9,15,11
0,15,15
9,15,17
9,15,18
9,15,24
9,16,3
9,16,6
9,16,7
9,16,8
9,16,16
1,16,17
2,16,22
9,17,1
9,17,2
9,17,8
0,17,9
9,17,11
9,17,12
1,17,13
9,17,14
1,17,16
1,17,18
9,17,20
9,17,23
9,17,24
2,18,3
9,18,7
9,18,9
9,18,12
1,18,13
9,18,14
9,18,16
0,18,20
9,18,23
2,19,1
9,19,10
9,19,14
9,19,24
9,20,1
9,20,3
0,20,4
9,20,6
1,20,7
9,20,13
9,20,14
9,20,15
0,20,20
9,20,22
9,20,23
9,20,24
9,21,0
0,21,11
9,21,13
9,21,16
9,21,18
0,21,20
9,21,23
9,22,2
9,22,4
4,22,8
9,22,13
3,22,17
1,22,22
9,22,24
9,23,3
0,23,4
9,23,6
9,23,7
9,23,12
9,23,13
1,23,14
9,23,17
9,23,19
2,23,20
3,24,2
9,24,4
9,24,5
9,24,7
1,24,9
9,24,14
9,24,21
